user, longitude, latitude
79155c46ec0f2673b1f8b2e1f3ceddfa191a67e6, -122.2713562, 37.8044557
73fca2ca94ba682d564199106f0817be48c36dbd, 10.4234469, 51.0834196
6bbfb1a9d4ae3684453c8bbbf6412d7154a0748a, -77.0366455, 38.8949549
49db3f2c43a8699ea17ceebc3535e7c08c3fa493, -97.7436994, 30.2711286
a204a860881187e92b2912da0ad1a2b18b1ad555, 13.3888599, 52.5170365
09f72c38cfe6541507b4f5736aa2ef85392d9265, -3.2765752, 54.7023545
a96014458368e92cc8b965c71ad5e8c7eee778fd, -120.6596155, 35.2827525
b066d240968d11186746273d632ab17e59ff2ad1, -86.774353, 36.1622296
7d27a43ab05e290b5077100817dac10260158371, 16.3725042, 48.2083537
3e58f243ee61b65ed07fb27010ffcf69aabd7aac, -122.2728638, 37.8708393
3dc1ec032ffea309a26408c0d85fc1efb361352a, -100.4458824, 39.7837304
5adef6a998ecd58611590a9abafd1283d8c55af3, -76.6108072, 39.2908608
1640a0fb65bbbed0e7a646985ff9d96d2362d86c, 172.8344077, -41.500083
87620aba824047f797ad643a4dbf7f3af1904ca9, 4.5385226, 50.7729254
4825d926cdf48559cfc5719dd6260648592e99e3, -3.2765752, 54.7023545
2f203a93b84dbbeb42c41cffcbdaac310023b4bc, -84.3901848, 33.7490987
eeb6a73166ba34117d63f1142bfeeed1e8dae8a5, 19.9368564, 50.0619474
8d290e108a3974a69b0c3584475bf69124cfde91, 10.8986971, 48.3668041
4faed8ebc723248486777c8c5f12c5075f6f4f42, 4.5385226, 50.7729254
190277b3754ccf2a2d34578574866de16a7b9a13, 19.0404707, 47.4983815
0c4ce47fe288210bbb93b26a6c9f19268e588df5, 103.852038, 1.2904527
e1fe8d69f5ca661c25828fb8bb8ced2a2a0aae34, -74.0760866, 4.5980478
c556f8648589ca8ef1d7a987a91e474019359f95, -105.2705455, 40.0149856
52dfcb5a8ed5dbeb41faae0388d598128808d433, -73.9865811, 40.7305991
68654c9f9cb47904c89072421829bad94f052fcb, 4.8979956033677, 52.374436
5ecae00a3bc01f6495a2abef45060134109a44e0, 35.0015196, 30.8760272
2bd873eea8c8cf50cd73f069e30e9b7195e28ba2, -78.8986189, 35.9940329
